id,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price,zip
381217,37.74498,-122.41927,House,Private room,1,1,3,$102.00 ,94110
392543,37.76196,-122.39411,Guest suite,Entire home/apt,1,1,4,$250.00 ,94158
394575,37.74248,-122.41069,Apartment,Entire home/apt,1,0,6,$149.00 ,94110
400433,37.76016,-122.42265,Apartment,Entire home/apt,2,2,2,$355.00 ,94110
408471,37.75666,-122.43607,House,Entire home/apt,3,3,2,$700.00 ,94114
409549,37.74002,-122.41813,Condominium,Entire home/apt,1.5,2,3,$169.00 ,94110
409560,37.72042,-122.46914,House,Private room,1.5,1,30,$60.00 ,94132
413663,37.74987,-122.44027,Apartment,Entire home/apt,2,2,30,$189.00 ,94131
415498,37.79363,-122.42493,Apartment,Entire home/apt,1,1,30,$130.00 ,94109
420160,37.76318,-122.40708,Apartment,Private room,1,1,3,$99.00 ,94158
423063,37.77044,-122.43599,Condominium,Entire home/apt,1,1,3,$289.00 ,94117
423300,37.75635,-122.40996,Guest suite,Entire home/apt,1,1,30,$119.00 ,94110
424846,37.78377,-122.47522,House,Private room,1.5,1,2,$132.00 ,94118
430692,37.75906,-122.40761,Apartment,Private room,,1,31,$68.00 ,94110
431632,37.78135,-122.48266,Apartment,Entire home/apt,1,1,3,$140.00 ,94118
431862,37.78321,-122.41969,Apartment,Entire home/apt,1,,30,$124.00 ,94102
435389,37.79418,-122.40582,House,Shared room,2.5,1,30,$30.00 ,94108
435390,37.79455,-122.406,House,Shared room,2.5,1,30,$30.00 ,94108
435391,37.79478,-122.40592,House,Shared room,2.5,1,30,$30.00 ,94108
437385,37.77884,-122.50535,Condominium,Private room,2,1,2,$128.00 ,94122
438940,37.76003,-122.4357,Apartment,Private room,1.5,1,2,$116.00 ,94114
438967,37.75941,-122.43363,Condominium,Private room,1.5,1,1,$109.00 ,94114
439703,37.75978,-122.4351,Condominium,Entire home/apt,1.5,4,1,$350.00 ,94114
442349,37.7748,-122.42711,Apartment,Entire home/apt,1,1,30,$250.00 ,94102
442397,37.75925,-122.50893,House,Entire home/apt,2,2,4,$324.00 ,94122
444675,37.74054,-122.43121,Apartment,Entire home/apt,2,3,30,$190.00 ,94131
450992,37.77407,-122.4331,Apartment,Entire home/apt,1,1,30,$110.00 ,94117
455783,37.75385,-122.50806,Apartment,Private room,1.5,1,30,$57.00 ,94122
456568,37.77346,-122.42917,House,Private room,3,1,1,$89.00 ,94117
457862,37.78101,-122.44083,House,Entire home/apt,1.5,3,3,$425.00 ,94115
457986,37.72594,-122.43327,Condominium,Entire home/apt,2,2,6,$225.00 ,94112
459990,37.80041,-122.41569,Serviced apartment,Hotel room,1,0,30,$148.00 ,94111
465723,37.73853,-122.47166,Apartment,Entire home/apt,1,1,2,$160.00 ,94116
467507,37.74687,-122.40964,Guest suite,Entire home/apt,1,1,3,$145.00 ,94110
468490,37.80139,-122.41534,Condominium,Entire home/apt,2.5,4,1,$490.00 ,94111
468751,37.76717,-122.42419,Apartment,Entire home/apt,1,2,3,$280.00 ,94117
470686,37.76731,-122.42542,Condominium,Private room,1,1,1,$125.00 ,94117
472901,37.77297,-122.40301,Apartment,Entire home/apt,1,0,31,$170.00 ,94103
474001,37.79472,-122.40519,House,Shared room,2.5,1,30,$30.00 ,94104
474107,37.72376,-122.42926,House,Private room,1,3,2,$90.00 ,94112
479072,37.75756,-122.4364,Guest suite,Entire home/apt,1,0,1,$199.00 ,94114
479415,37.73962,-122.41484,House,Entire home/apt,2,3,3,$230.00 ,94110
482592,37.73429,-122.43491,House,Entire home/apt,1.5,4,2,$675.00 ,94112
485286,37.73895,-122.41274,Apartment,Entire home/apt,1,2,2,$195.00 ,94110
487019,37.756,-122.40022,Apartment,Entire home/apt,2,3,4,$205.00 ,94158
487499,37.76099,-122.42183,Apartment,Entire home/apt,1,1,30,$125.00 ,94110
488297,37.75613,-122.44066,Condominium,Private room,2,3,3,$399.00 ,94114
491867,37.77296,-122.43497,Condominium,Entire home/apt,2,3,3,$375.00 ,94117
491874,37.77144,-122.4347,Condominium,Private room,1,1,3,$130.00 ,94117
493889,37.72872,-122.4406,Apartment,Entire home/apt,1,1,4,$225.00 ,94112
494111,37.77985,-122.48478,Apartment,Entire home/apt,1,1,3,$130.00 ,94118
496226,37.76197,-122.40365,Apartment,Entire home/apt,1,1,30,$170.00 ,94158
499096,37.75853,-122.42387,Apartment,Entire home/apt,1,1,3,$100.00 ,94110
501057,37.74946,-122.40917,House,Entire home/apt,1.5,2,3,$295.00 ,94110
501770,37.77166,-122.43826,Apartment,Entire home/apt,1,1,30,$220.00 ,94117
503362,37.77244,-122.43789,Apartment,Entire home/apt,2,2,30,$350.00 ,94117
504146,37.80594,-122.43783,Condominium,Entire home/apt,1,0,2,$280.00 ,94123
505530,37.74312,-122.40647,House,Entire home/apt,2,4,30,$275.00 ,94110
505763,37.75081,-122.44524,Apartment,Entire home/apt,1,1,365,$200.00 ,94131
515260,37.74395,-122.43253,House,Entire home/apt,1,2,3,$260.00 ,94131
515524,37.77144,-122.44433,Apartment,Entire home/apt,1,1,30,$90.00 ,94117
516836,37.75933,-122.40367,House,Private room,2,1,3,$135.00 ,94158
517803,37.76794,-122.43906,Bungalow,Entire home/apt,1.5,2,5,$550.00 ,94117
519796,37.80299,-122.42447,Apartment,Entire home/apt,1,1,31,$126.00 ,94123
522089,37.75981,-122.42447,Apartment,Entire home/apt,1,3,3,$495.00 ,94110
522273,37.73821,-122.39146,Apartment,Private room,1.5,1,30,$70.00 ,94124
527226,37.72509,-122.43309,House,Private room,1,1,30,$95.00 ,94112
530857,37.71725,-122.43562,House,Private room,1.5,1,7,$100.00 ,94112
531151,37.73496,-122.41656,House,Entire home/apt,2.5,4,4,$449.00 ,94110
533193,37.72988,-122.42673,House,Private room,1,1,30,$43.00 ,94112
533627,37.76132,-122.40421,House,Entire home/apt,3,3,4,$650.00 ,94158
545585,37.79709,-122.41033,Apartment,Private room,1,1,30,$140.00 ,94108
545685,37.77619,-122.48231,Guest suite,Entire home/apt,1,1,1,$79.00 ,94122
548232,37.79817,-122.44169,Condominium,Entire home/apt,1,3,4,"$1,195.00 ",94123
555596,37.74416,-122.43598,Guest suite,Entire home/apt,1,1,5,$129.00 ,94131
560440,37.7605,-122.42317,Apartment,Entire home/apt,1,2,5,$220.00 ,94110
561148,37.77822,-122.45813,House,Entire home/apt,2,3,3,$450.00 ,94118
561602,37.74521,-122.41938,House,Private room,1,2,4,$105.00 ,94110
562311,37.76149,-122.40874,Apartment,Private room,2,2,4,$103.00 ,94110
562593,37.80043,-122.40543,Apartment,Entire home/apt,1,1,4,$200.00 ,94104
